country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Albania,1970,2150707,2.55 %,50907,-20.0,19.6,5.26,78,31.7 %,682607,0.06 %,3700437046,125
Albania,1965,1896171,2.99 %,52016,-20.0,19.7,6.23,69,31.2 %,592158,0.06 %,3339583597,127
Albania,1960,1636090,2.87 %,43219,-20.0,20.2,6.55,60,30.7 %,502359,0.05 %,3034949748,124
Albania,1955,1419994,2.37 %,31364,-20.0,20.6,6.23,52,26.9 %,381458,0.05 %,2773019936,127
Algeria,2020,43851044,1.85 %,797990,-10000.0,28.5,3.05,18,72.9 %,31950910,0.56 %,7794798739,33
Algeria,2019,43053054,1.95 %,824646,-10000.0,27.7,2.98,18,72.6 %,31236431,0.56 %,7713468100,34
Algeria,2018,42228408,2.03 %,839219,-10000.0,27.7,2.98,18,72.2 %,30510016,0.55 %,7631091040,34
Algeria,2017,41389189,2.07 %,837797,-10000.0,27.7,2.98,17,71.9 %,29770610,0.55 %,7547858925,33
Algeria,2016,40551392,2.07 %,823367,-10000.0,27.7,2.98,17,71.6 %,29016515,0.54 %,7464022049,33
Algeria,2015,39728025,2.00 %,750114,-28654.0,27.5,2.96,17,71.1 %,28248247,0.54 %,7379797139,33
Algeria,2010,35977455,1.65 %,565546,-71468.0,26.0,2.72,15,67.8 %,24393696,0.52 %,6956823603,34
Algeria,2005,33149724,1.32 %,421498,-41046.0,24.1,2.38,14,64.1 %,21247946,0.51 %,6541907027,34
Algeria,2000,31042235,1.54 %,456890,-32883.0,21.7,2.89,13,60.2 %,18684813,0.51 %,6143493823,34
Algeria,1995,28757785,2.23 %,599783,-25736.0,19.4,4.12,12,56.3 %,16185664,0.50 %,5744212979,34
Algeria,1990,25758869,2.80 %,665473,-18660.0,18.0,5.3,11,52.4 %,13496502,0.48 %,5327231061,33
Algeria,1985,22431502,3.14 %,641967,-16204.0,17.1,6.32,9,48.3 %,10824400,0.46 %,4870921740,35
Algeria,1980,19221665,2.97 %,522792,-44967.0,16.7,7.18,8,43.8 %,8419984,0.43 %,4458003514,35
Algeria,1975,16607707,2.80 %,428544,-50687.0,16.5,7.57,7,40.6 %,6738763,0.41 %,4079480606,35
Algeria,1970,14464985,2.88 %,382820,-24267.0,16.4,7.65,6,39.7 %,5747203,0.39 %,3700437046,36
Algeria,1965,12550885,2.57 %,298604,-56588.0,16.6,7.65,5,37.9 %,4753122,0.38 %,3339583597,38
Algeria,1960,11057863,2.50 %,256716,-38371.0,17.8,7.38,5,30.7 %,3394238,0.36 %,3034949748,37
Algeria,1955,9774283,1.96 %,180407,-71989.0,18.5,7.28,4,26.3 %,2570392,0.35 %,2773019936,38
American Samoa,2019,55312,-0.28 %,-153,,,,277,87.8 %,48565,0.00 %,7713468100,210
American Samoa,2018,55465,-0.28 %,-155,,,,277,87.5 %,48526,0.00 %,7631091040,210
American Samoa,2017,55620,-0.22 %,-121,,,,278,87.2 %,48502,0.00 %,7547858925,210
American Samoa,2016,55741,-0.13 %,-71,,,,279,87 %,48481,0 %,7464022049,210
American Samoa,2015,55812,-0.1 %,-53,,,,279,86.8 %,48449,0 %,7379797139,209
American Samoa,2010,56079,-1.2 %,-697,,,,280,86.9 %,48735,0 %,6956823603,209
American Samoa,2005,59562,0.6 %,348,,,,298,87.4 %,52083,0 %,6541907027,206
American Samoa,2000,57821,1.69 %,932,,,,289,88.1 %,50956,0 %,6143493823,206
American Samoa,1995,53161,2.34 %,1163,,,,266,84.8 %,45086,0 %,5744212979,207
American Samoa,1990,47347,3.68 %,1566,,,,237,80.4 %,38076,0 %,5327231061,207
American Samoa,1985,39519,3.9 %,1375,,,,198,77.2 %,30515,0 %,4870921740,209
American Samoa,1980,32646,1.67 %,519,,,,163,73.9 %,24125,0 %,4458003514,209
American Samoa,1975,30052,1.89 %,538,,,,150,72.1 %,21657,0 %,4079480606,210
American Samoa,1970,27363,2.94 %,738,,,,137,70.2 %,19209,0 %,3700437046,209
American Samoa,1965,23672,3.3 %,710,,,,118,53.3 %,12613,0 %,3339583597,208
American Samoa,1960,20123,0.37 %,74,,,,101,65.9 %,13251,0 %,3034949748,210
American Samoa,1955,19754,0.85 %,163,,,,99,63.9 %,12613,0 %,2773019936,208
Andorra,2019,77142,0.18 %,136,,,,164,87.9 %,67811,0.00 %,7713468100,203
Andorra,2018,77006,0.01 %,5,,,,164,88 %,67766,0.00 %,7631091040,203
Andorra,2017,77001,-0.38 %,-296,,,,164,88.1 %,67845,0.00 %,7547858925,203
Andorra,2016,77297,-0.92 %,-714,,,,164,88.2 %,68199,0 %,7464022049,203
Andorra,2015,78011,-1.57 %,-1288,,,,166,88.3 %,68921,0 %,7379797139,203
Andorra,2010,84449,1.38 %,1116,,,,180,88.8 %,75007,0 %,6956823603,203
Andorra,2005,78867,3.82 %,2695,,,,168,90.3 %,71205,0 %,6541907027,203
Andorra,2000,65390,0.48 %,308,,,,139,92.4 %,60417,0 %,6143493823,204
Andorra,1995,63850,3.21 %,1868,,,,136,93.7 %,59803,0 %,5744212979,204
Andorra,1990,54509,4.09 %,1982,,,,116,94.7 %,51627,0 %,5327231061,206
Andorra,1985,44600,4.34 %,1707,,,,95,95.2 %,42441,0 %,4870921740,207
Andorra,1980,36067,3.27 %,1072,,,,77,92.1 %,33205,0 %,4458003514,208
Andorra,1975,30705,4.81 %,1286,,,,65,87.3 %,26791,0 %,4079480606,208
Andorra,1970,24276,5.53 %,1145,,,,52,80.2 %,19458,0 %,3700437046,210
Andorra,1965,18549,6.7 %,1028,,,,39,24.2 %,4484,0 %,3339583597,216
Andorra,1960,13411,7.75 %,836,,,,29,58.5 %,7839,0 %,3034949748,215
Andorra,1955,9232,8.3 %,607,,,,20,48.6 %,4484,0 %,2773019936,216
Angola,2020,32866272,3.27 %,1040977,6413.0,16.7,5.55,26,66.7 %,21936953,0.42 %,7794798739,44
Angola,2019,31825295,3.30 %,1015508,6413.0,16.4,5.91,26,66.1 %,21035940,0.41 %,7713468100,45
Angola,2018,30809787,3.33 %,993021,6413.0,16.4,5.91,25,65.4 %,20161538,0.40 %,7631091040,45
Angola,2017,29816766,3.38 %,974277,6413.0,16.4,5.91,24,64.8 %,19311639,0.40 %,7547858925,45
Angola,2016,28842489,3.44 %,958108,6413.0,16.4,5.91,23,64.1 %,18483603,0.39 %,7464022049,46
Angola,2015,27884381,3.61 %,905627,33253.0,16.4,6.0,22,63.4 %,17675745,0.38 %,7379797139,46
Angola,2010,23356246,3.75 %,784529,71460.0,16.4,6.35,19,59.8 %,13970854,0.34 %,6956823603,50
Angola,2005,19433602,3.46 %,607626,52220.0,16.4,6.55,16,56.3 %,10949424,0.30 %,6541907027,55
Angola,2000,16395473,3.29 %,490053,39960.0,16.3,6.75,13,50.2 %,8234824,0.27 %,6143493823,57
Angola,1995,13945206,3.31 %,419364,28562.0,16.1,7.1,11,45.2 %,6302478,0.24 %,5744212979,60
Angola,1990,11848386,3.53 %,377278,37698.0,16.1,7.4,10,38.2 %,4520997,0.22 %,5327231061,59
Angola,1985,9961997,3.62 %,324142,46830.0,16.3,7.46,8,32.3 %,3218567,0.20 %,4870921740,64
Angola,1980,8341289,3.50 %,263458,39960.0,16.8,7.46,7,26.0 %,2169810,0.19 %,4458003514,69
Angola,1975,7024000,3.58 %,226727,39960.0,16.9,7.5,6,20.9 %,1469515,0.17 %,4079480606,72
Angola,1970,5890365,0.41 %,23959,-117457.0,17.6,7.3,5,17.2 %,1013531,0.16 %,3700437046,75
Angola,1965,5770570,1.13 %,63127,-59343.0,18.4,6.9,5,13.4 %,775667,0.17 %,3339583597,68
Angola,1960,5454933,1.58 %,82337,-34577.0,20.2,6.5,4,10.8 %,588842,0.18 %,3034949748,68
Angola,1955,5043247,2.09 %,99045,0.0,19.6,6.0,4,9.0 %,455428,0.18 %,2773019936,68
Anguilla,2019,14869,0.94 %,138,,,,165,N.A.,N.A.,0.00 %,7713468100,224
Anguilla,2018,14731,1.01 %,147,,,,164,N.A.,N.A.,0.00 %,7631091040,224
Anguilla,2017,14584,1.07 %,155,,,,162,N.A.,N.A.,0.00 %,7547858925,224
Anguilla,2016,14429,1.05 %,150,,,,160,N.A.,N.A.,0 %,7464022049,224
Anguilla,2015,14279,1.22 %,168,,,,159,N.A.,N.A.,0 %,7379797139,224
Anguilla,2010,13438,1.53 %,197,,,,149,N.A.,N.A.,0 %,6956823603,224
Anguilla,2005,12453,2.05 %,240,,,,138,N.A.,N.A.,0 %,6541907027,225
Anguilla,2000,11252,2.66 %,277,,,,125,98.4 %,11070,0 %,6143493823,225
Anguilla,1995,9866,2.08 %,193,,,,110,99.4 %,9802,0 %,5744212979,226
Anguilla,1990,8899,4.06 %,321,,,,99,93.7 %,8334,0 %,5327231061,228
Anguilla,1985,7293,0.02 %,2,,,,81,91.3 %,6662,0 %,4870921740,228
Anguilla,1980,7285,0.35 %,25,,,,81,92 %,6702,0 %,4458003514,228
Anguilla,1975,7159,1.12 %,78,,,,80,92.6 %,6629,0 %,4079480606,225
Anguilla,1970,6771,1.26 %,82,,,,75,94.6 %,6403,0 %,3700437046,224
Anguilla,1965,6361,1.07 %,66,,,,71,89.6 %,5700,0 %,3339583597,223
Anguilla,1960,6032,0.85 %,50,,,,67,97.2 %,5864,0 %,3034949748,223
Anguilla,1955,5783,2.47 %,133,,,,64,98.6 %,5700,0 %,2773019936,223
Antigua And Barbuda,2020,97929,0.84 %,811,0.0,34.0,2.0,223,26.2 %,25682,0.00 %,7794798739,201
Antigua And Barbuda,2019,97118,0.86 %,832,0.0,32.8,2.0,221,26.3 %,25507,0.00 %,7713468100,201
Antigua And Barbuda,2018,96286,0.90 %,860,0.0,32.8,2.0,219,26.3 %,25350,0.00 %,7631091040,201
Antigua And Barbuda,2017,95426,0.95 %,899,0.0,32.8,2.0,217,26.4 %,25210,0.00 %,7547858925,201
Antigua And Barbuda,2016,94527,1.03 %,961,0.0,32.8,2.0,215,26.5 %,25085,0.00 %,7464022049,201
Antigua And Barbuda,2015,93566,1.23 %,1108,189.0,32.6,2.0,213,26.7 %,24981,0.00 %,7379797139,201
Antigua And Barbuda,2010,88028,1.56 %,1313,377.0,31.1,2.0,200,28.2 %,24837,0.00 %,6956823603,201
Antigua And Barbuda,2005,81465,1.39 %,1090,50.0,29.5,2.16,185,32.0 %,26078,0.00 %,6541907027,201
Antigua And Barbuda,2000,76016,2.05 %,1469,494.0,28.1,2.2,173,35.3 %,26853,0.00 %,6143493823,202
Antigua And Barbuda,1995,68670,1.89 %,1228,446.0,26.5,2.09,156,36.4 %,25002,0.00 %,5744212979,203
Antigua And Barbuda,1990,62528,0.24 %,148,-578.0,25.2,2.07,142,37.8 %,23628,0.00 %,5327231061,202
Antigua And Barbuda,1985,61786,-0.03 %,-16,-753.0,23.1,2.14,140,39.6 %,24438,0.00 %,4870921740,203
Antigua And Barbuda,1980,61865,-0.26 %,-162,-886.0,21.0,2.24,141,41.1 %,25424,0.00 %,4458003514,200
Antigua And Barbuda,1975,62675,-0.47 %,-300,-1404.0,19.0,3.26,142,39.1 %,24503,0.00 %,4079480606,197
Antigua And Barbuda,1970,64177,1.80 %,1096,-240.0,17.4,4.0,146,35.4 %,22692,0.00 %,3700437046,196
Antigua And Barbuda,1965,58698,1.63 %,913,-376.0,17.8,4.3,133,37.9 %,22252,0.00 %,3339583597,194
Antigua And Barbuda,1960,54131,1.74 %,897,-300.0,18.5,4.5,123,40.5 %,21945,0.00 %,3034949748,194
Antigua And Barbuda,1955,49648,1.75 %,826,-195.0,18.8,4.5,113,37.2 %,18455,0.00 %,2773019936,194
Argentina,2020,45195774,0.93 %,415097,4800.0,31.5,2.27,17,92.8 %,41919857,0.58 %,7794798739,32
Argentina,2019,44780677,0.95 %,419527,4800.0,30.7,2.32,16,92.7 %,41489566,0.58 %,7713468100,31
Argentina,2018,44361150,0.97 %,424010,4800.0,30.7,2.32,16,92.5 %,41055867,0.58 %,7631091040,31
Argentina,2017,43937140,0.99 %,428680,4800.0,30.7,2.32,16,92.4 %,40618237,0.58 %,7547858925,32
Argentina,2016,43508460,1.01 %,433044,4800.0,30.7,2.32,16,92.3 %,40175981,0.58 %,7464022049,32
Argentina,2015,43075416,1.04 %,435933,6000.0,30.5,2.33,16,92.2 %,39728358,0.58 %,7379797139,32
Argentina,2010,40895752,1.01 %,400564,-24000.0,29.6,2.37,15,91.6 %,37451589,0.59 %,6956823603,32
Argentina,2005,38892931,1.07 %,404429,-25000.0,28.5,2.48,14,90.6 %,35243134,0.59 %,6541907027,30
Argentina,2000,36870787,1.15 %,408523,-25600.0,27.6,2.63,13,89.6 %,33033759,0.60 %,6143493823,31
Argentina,1995,34828170,1.32 %,441904,-21000.0,27.1,2.91,13,88.6 %,30852828,0.61 %,5744212979,31
Argentina,1990,32618651,1.54 %,480474,32000.0,27.0,3.05,12,87.3 %,28469564,0.61 %,5327231061,31
Argentina,1985,30216279,1.61 %,463950,28000.0,27.1,3.15,11,85.5 %,25841892,0.62 %,4870921740,29
Argentina,1980,27896528,1.52 %,406150,-46000.0,27.2,3.4,10,83.5 %,23296076,0.63 %,4458003514,29
Argentina,1975,25865776,1.61 %,397043,28400.0,27.2,3.15,9,81.6 %,21106293,0.63 %,4079480606,28
Argentina,1970,23880561,1.51 %,344182,26000.0,27.1,3.05,9,79.2 %,18909965,0.65 %,3700437046,28
Argentina,1965,22159650,1.59 %,335574,24400.0,26.9,3.09,8,76.8 %,17017687,0.66 %,3339583597,28
Argentina,1960,20481779,1.74 %,338472,28167.0,26.6,3.13,7,74.1 %,15177946,0.67 %,3034949748,28
Argentina,1955,18789418,1.98 %,350301,56018.0,26.0,3.15,7,70.2 %,13181070,0.68 %,2773019936,28
Armenia,2020,2963243,0.19 %,5512,-4998.0,35.4,1.76,104,62.8 %,1860554,0.04 %,7794798739,137
Armenia,2019,2957731,0.20 %,5986,-4998.0,34.1,1.73,104,62.8 %,1856542,0.04 %,7713468100,137
Armenia,2018,2951745,0.24 %,6954,-4998.0,34.1,1.73,104,62.8 %,1852877,0.04 %,7631091040,138
Armenia,2017,2944791,0.29 %,8648,-4998.0,34.1,1.73,103,62.8 %,1849202,0.04 %,7547858925,138
Armenia,2016,2936143,0.36 %,10590,-4998.0,34.1,1.73,103,62.8 %,1845024,0.04 %,7464022049,138
Armenia,2015,2925553,0.33 %,9647,-6107.0,33.8,1.72,103,62.9 %,1840151,0.04 %,7379797139,139
Armenia,2010,2877319,-0.71 %,-20790,-36672.0,32.9,1.72,101,63.4 %,1825365,0.04 %,6956823603,139
Armenia,2005,2981269,-0.58 %,-17664,-32104.0,31.8,1.65,105,63.9 %,1906167,0.05 %,6541907027,136
Armenia,2000,3069591,-0.94 %,-29551,-44775.0,30.6,1.75,108,64.7 %,1984990,0.05 %,6143493823,133
Armenia,1995,3217348,-1.88 %,-64165,-99258.0,29.4,2.38,113,66.1 %,2125290,0.06 %,5744212979,129
Armenia,1990,3538171,1.18 %,40446,-13506.0,27.2,2.6,124,67.4 %,2385458,0.07 %,5327231061,121
Armenia,1985,3335940,1.48 %,47237,-10246.0,25.3,2.5,117,67.1 %,2238065,0.07 %,4870921740,119
Armenia,1980,3099754,1.82 %,53399,3443.0,23.5,2.6,109,66.0 %,2047372,0.07 %,4458003514,120
Armenia,1975,2832759,2.33 %,61538,17281.0,21.8,3.04,99,63.6 %,1801955,0.07 %,4079480606,118
Armenia,1970,2525068,2.69 %,62750,20680.0,20.3,3.45,89,59.9 %,1511615,0.07 %,3700437046,119
Armenia,1965,2211319,3.36 %,67440,14067.0,20.6,4.45,78,55.6 %,1229971,0.07 %,3339583597,121
Armenia,1960,1874121,3.69 %,62123,11986.0,22.4,4.9,66,51.3 %,960959,0.06 %,3034949748,121
Armenia,1955,1563507,2.93 %,41999,9973.0,22.7,4.49,55,46.0 %,718453,0.06 %,2773019936,121
Aruba,2020,106766,0.43 %,452,201.0,41.0,1.9,593,43.6 %,46511,0.00 %,7794798739,197
Aruba,2019,106314,0.44 %,469,201.0,40.3,1.82,591,43.4 %,46182,0.00 %,7713468100,197
Aruba,2018,105845,0.45 %,479,201.0,40.3,1.82,588,43.3 %,45872,0.00 %,7631091040,197
Aruba,2017,105366,0.47 %,494,201.0,40.3,1.82,585,43.3 %,45572,0.00 %,7547858925,197
Aruba,2016,104872,0.51 %,531,201.0,40.3,1.82,583,43.2 %,45275,0.00 %,7464022049,197
Aruba,2015,104341,0.52 %,534,251.0,40.1,1.8,580,43.1 %,44979,0.00 %,7379797139,198
Aruba,2010,101669,0.33 %,328,-88.0,38.4,1.76,565,43.1 %,43778,0.00 %,6956823603,199
Aruba,2005,100031,1.94 %,1836,1253.0,36.2,1.82,556,44.9 %,44889,0.00 %,6541907027,198
Aruba,2000,90853,2.49 %,2106,1385.0,34.4,1.95,505,46.7 %,42444,0.00 %,6143493823,198
Aruba,1995,80324,5.26 %,3635,2844.0,32.5,2.17,446,48.8 %,39171,0.00 %,5744212979,198
Aruba,1990,62149,-0.28 %,-175,-1039.0,31.2,2.3,345,50.3 %,31273,0.00 %,5327231061,203
Aruba,1985,63026,0.96 %,586,-384.0,28.0,2.36,350,50.4 %,31762,0.00 %,4870921740,202
Aruba,1980,60096,-0.19 %,-112,-1094.0,26.0,2.45,334,50.5 %,30331,0.00 %,4458003514,201
Aruba,1975,60657,0.53 %,319,-707.0,23.9,2.65,337,50.5 %,30661,0.00 %,4079480606,198
Aruba,1970,59063,0.59 %,341,-855.0,20.8,3.3,328,50.6 %,29900,0.00 %,3700437046,198
Aruba,1965,57360,1.14 %,630,-865.0,19.1,4.4,319,50.7 %,29082,0.00 %,3339583597,196
Aruba,1960,54211,4.39 %,2097,557.0,18.1,5.15,301,50.8 %,27526,0.00 %,3034949748,193
Aruba,1955,43724,2.81 %,1131,-316.0,18.1,5.65,243,50.9 %,22235,0.00 %,2773019936,196
Australia,2020,25499884,1.18 %,296686,158246.0,37.9,1.83,3,85.9 %,21903705,0.33 %,7794798739,55
Australia,2019,25203198,1.23 %,305046,158246.0,37.3,1.87,3,85.7 %,21607414,0.33 %,7713468100,55
Australia,2018,24898152,1.28 %,313532,158246.0,37.3,1.87,3,85.6 %,21307040,0.33 %,7631091040,55
Australia,2017,24584620,1.33 %,321908,158246.0,37.3,1.87,3,85.4 %,21003923,0.33 %,7547858925,53
Australia,2016,24262712,1.38 %,330210,158246.0,37.3,1.87,3,85.3 %,20700043,0.33 %,7464022049,53
Australia,2015,23932502,1.56 %,355565,197875.0,37.2,1.89,3,85.2 %,20396531,0.32 %,7379797139,53
Australia,2010,22154679,1.89 %,395228,242160.0,36.8,1.95,3,85.0 %,18842292,0.32 %,6956823603,53
Australia,2005,20178540,1.22 %,237422,117856.0,36.5,1.77,3,84.8 %,17118434,0.31 %,6541907027,52
Australia,2000,18991431,1.09 %,199671,77684.0,35.4,1.79,2,84.6 %,16060093,0.31 %,6143493823,51
Australia,1995,17993074,1.19 %,206495,70216.0,33.6,1.86,2,85.3 %,15346879,0.31 %,5744212979,51
Australia,1990,16960597,1.60 %,259387,130842.0,32.1,1.86,2,85.8 %,14558985,0.32 %,5327231061,49
Australia,1985,15663663,1.43 %,215052,90714.0,30.7,1.91,2,85.9 %,13461702,0.32 %,4870921740,47
Australia,1980,14588405,1.16 %,163023,47149.0,29.3,1.99,2,85.9 %,12532663,0.33 %,4458003514,46
Australia,1975,13773288,1.49 %,196051,51906.0,28.1,2.54,2,85.1 %,11727714,0.34 %,4079480606,42
Australia,1970,12793034,2.49 %,295968,161239.0,27.4,2.87,2,84.3 %,10787874,0.35 %,3700437046,42
Australia,1965,11313195,2.01 %,214224,76869.0,28.3,3.27,1,83.4 %,9439263,0.34 %,3339583597,42
Australia,1960,10242076,2.25 %,215274,79911.0,29.6,3.41,1,81.9 %,8389125,0.34 %,3034949748,39
Australia,1955,9165707,2.31 %,197673,79201.0,30.2,3.18,1,79.7 %,7309544,0.33 %,2773019936,42
Austria,2020,9006398,0.57 %,51296,65000.0,43.5,1.53,109,57.3 %,5159360,0.12 %,7794798739,97
Austria,2019,8955102,0.72 %,63714,65000.0,43.3,1.46,109,57.3 %,5129574,0.12 %,7713468100,97
Austria,2018,8891388,0.81 %,71487,65000.0,43.3,1.46,108,57.4 %,5102072,0.12 %,7631091040,97
Austria,2017,8819901,0.83 %,72600,65000.0,43.3,1.46,107,57.5 %,5074746,0.12 %,7547858925,98
Austria,2016,8747301,0.79 %,68641,65000.0,43.3,1.46,106,57.7 %,5044760,0.12 %,7464022049,97
Austria,2015,8678660,0.63 %,53742,53434.0,43.2,1.45,105,57.7 %,5008930,0.12 %,7379797139,97
Austria,2010,8409949,0.38 %,31260,30753.0,41.9,1.4,102,57.4 %,4827265,0.12 %,6956823603,95
Austria,2005,8253650,0.45 %,36875,35623.0,40.0,1.38,100,58.8 %,4854250,0.13 %,6541907027,91
Austria,2000,8069276,0.20 %,15831,13016.0,38.2,1.39,98,60.2 %,4858713,0.13 %,6143493823,90
Austria,1995,7990121,0.68 %,53234,45568.0,36.3,1.48,97,61.6 %,4921587,0.14 %,5744212979,84
Austria,1990,7723949,0.28 %,21816,22200.0,36.5,1.45,94,63.0 %,4863031,0.14 %,5327231061,83
Austria,1985,7614868,0.01 %,1023,3600.0,35.8,1.6,92,64.3 %,4896706,0.16 %,4870921740,79
Austria,1980,7609752,-0.07 %,-5587,1100.0,35.0,1.65,92,65.4 %,4976123,0.17 %,4458003514,74
Austria,1975,7637689,0.32 %,24290,16400.0,33.9,2.04,93,65.3 %,4990572,0.19 %,4079480606,66
Austria,1970,7516239,0.57 %,42216,10080.0,33.6,2.57,91,65.3 %,4904916,0.20 %,3700437046,66
Austria,1965,7305158,0.65 %,46878,3199.0,34.7,2.78,89,65.0 %,4749183,0.22 %,3339583597,59
Austria,1960,7070766,0.34 %,23472,-10400.0,35.4,2.57,86,64.7 %,4576187,0.23 %,3034949748,64
Austria,1955,6953406,0.05 %,3393,-15600.0,35.1,2.1,84,64.2 %,4461298,0.25 %,2773019936,59
Azerbaijan,2020,10139177,0.91 %,91459,1200.0,32.3,2.08,123,56.2 %,5695930,0.13 %,7794798739,90
Azerbaijan,2019,10047718,0.99 %,98181,1200.0,30.7,2.09,122,55.8 %,5611295,0.13 %,7713468100,90
Azerbaijan,2018,9949537,1.06 %,104217,1200.0,30.7,2.09,120,55.5 %,5525646,0.13 %,7631091040,91
Azerbaijan,2017,9845320,1.12 %,109277,1200.0,30.7,2.09,119,55.2 %,5438926,0.13 %,7547858925,90
Azerbaijan,2016,9736043,1.18 %,113298,1200.0,30.7,2.09,118,55.0 %,5351044,0.13 %,7464022049,91
Azerbaijan,2015,9622745,1.27 %,118057,1700.0,30.3,2.09,116,54.7 %,5262140,0.13 %,7379797139,91
Azerbaijan,2010,9032461,1.13 %,98771,10716.0,28.7,1.83,109,53.4 %,4823834,0.13 %,6956823603,91
Azerbaijan,2005,8538605,1.00 %,83173,7305.0,27.1,1.9,103,52.4 %,4473283,0.13 %,6541907027,90
Azerbaijan,2000,8122741,0.88 %,69463,-22370.0,25.6,2.25,98,51.4 %,4173974,0.13 %,6143493823,89
Azerbaijan,1995,7775424,1.43 %,106533,-23023.0,24.6,2.9,94,52.2 %,4059242,0.14 %,5744212979,86
Azerbaijan,1990,7242761,1.67 %,115263,-32314.0,24.1,3.2,88,53.7 %,3892911,0.14 %,5327231061,86
Azerbaijan,1985,6666447,1.62 %,103143,-20314.0,22.8,3.3,81,53.5 %,3566399,0.14 %,4870921740,84
Azerbaijan,1980,6150733,1.63 %,95320,-10093.0,20.9,3.8,74,52.8 %,3246145,0.14 %,4458003514,84
